Operators;Runoders;Part;Cutoff_MHz;risetime_ps
NMUT;22,0;5;276,36;1271,7
NMUT;23,0;9;321,0;1091,58
NMUT;24,0;6;283,96;1236,8799999999999
NMUT;25,0;10;318,38;1105,48
NMUT;26,0;8;321,78;1097,34
NMUT;29,0;7;297,38;1178,6200000000001
NMUT;51,0;8;350,4;1000,86
NMUT;52,0;10;330,4;1062,64
NMUT;55,0;5;308,78;1142,1399999999999
NMUT;56,0;7;277,15999999999997;1271,02
NMUT;57,0;9;330,8;1058,76
NMUT;58,0;6;310,6;1129,6200000000001
NMUT;81,0;8;337,2;1039,72
NMUT;83,0;10;334,8;1046,9
NMUT;84,0;7;305,97999999999996;1153,02
NMUT;85,0;6;324,4;1081,54
NMUT;89,0;9;359,6;975,18
NMUT;90,0;5;323,6;1086,6799999999998
SSID;1,0;7;301,38;1169,1
SSID;3,0;5;270,52;1296,5
SSID;4,0;6;259,12;1362,56
SSID;7,0;9;326,4;1075,34
SSID;8,0;10;318,2;1102,6200000000001
SSID;9,0;8;299,8;1172,28
SSID;31,0;6;296,15999999999997;1191,8600000000001
SSID;33,0;5;318,6;1102,16
SSID;34,0;7;303,8;1154,98
SSID;37,0;10;283,97999999999996;1234,1799999999998
SSID;38,0;9;337,8;1037,16
SSID;39,0;8;294,58;1193,72
SSID;61,0;8;337,8;1040,3200000000002
SSID;62,0;7;287,38;1236,6200000000001
SSID;63,0;5;288,15999999999997;1218,6399999999999
SSID;64,0;10;332,4;1055,3
SSID;65,0;9;331,4;1058,8600000000001
SSID;69,0;6;296,17999999999995;1184,8200000000002
